symbol,series,comapnyName,new52WHL,prev52WHL,prevHLDate,ltp,prevClose,change,pChange
SDL26BEES,EQ,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,136.71,134.89,21-Jul-2025,132.75,132.73,0.02,0.0150681835304754
SILVER360,EQ,360 ONE Mutual Fund - 360 ONE Silver ETF,125.5,124.5,02-Sep-2025,122.49,122.59,-0.1,-0.08157272208173587
SILVERCASE,EQ,Zerodha Fund House - Zerodha Silver ETF,12.98,12.97,02-Sep-2025,12.65,12.6,0.05,0.3968253968253968
SILVERETF,EQ,UTI Mutual Fund - UTI Silver Exchange Traded Fund (UTI Silver ETF),123.33,122.28,03-Sep-2025,120.8,120.33,0.47,0.39059253718939585
SNEHAA,ST,Snehaa Organics Limited,122.0,0.0,-,115.9,122,-6.1,-5.0
STALLION,EQ,Stallion India Fluorochemicals Limited,198.4,195.09,03-Sep-2025,190.25,180.64,9.61,5.319973427812223
SWANDEF,BE,Swan Defence and Heavy Industries Limited,498.6,474.9,04-Sep-2025,498.6,474.9,23.7,4.990524320909665
SYRMA,EQ,Syrma SGS Technology Limited,872.0,845.0,04-Sep-2025,832.8,836.15,-3.35,-0.4006458171380733
TDPOWERSYS,EQ,TD Power Systems Limited,567.0,560.0,03-Sep-2025,549.45,538.55,10.9,2.0239532076873084
TEJASCARGO,ST,Tejas Cargo India Limited,317.0,315.0,04-Sep-2025,317.0,315,2.0,0.6349206349206349
TFCILTD,EQ,Tourism Finance Corporation of India Limited,348.1,344.7,04-Sep-2025,344.5,340.55,3.95,1.1598884157979739
UNIONGOLD,EQ,Union Mutual Fund - Union Gold ETF,105.6,105.5,03-Sep-2025,105.55,104.25,1.3,1.2470023980815348
VIAZ,SM,Viaz Tyres Limited,80.3,76.5,04-Sep-2025,80.3,76.5,3.8,4.967320261437909
VIMTALABS,EQ,Vimta Labs Limited,902.65,838.25,04-Sep-2025,877.0,796.45,80.55,10.113629229706824
YATHARTH,EQ,Yatharth Hospital & Trauma Care Services Limited,799.0,789.0,04-Sep-2025,785.2,768.75,16.45,2.1398373983739836
ZYDUSWELL,EQ,Zydus Wellness Limited,2517.0,2454.0,04-Sep-2025,2426.0,2423.8,2.2,0.0907665648980939
